Kombinacja	Liczba wystąpień
17,21,28,29	5
25,26,27,33	5
3,11,12,21	4
6,10,12,22	4
13,16,18,22	4
13,20,21,28	4
22,23,29,35	4
29,32,34,38	4
34,40,42,47	4
1,2,4,5	3
1,3,20,22	3
1,4,5,15	3
1,4,11,18	3
1,10,11,26	3
1,12,17,21	3
1,17,21,22	3
2,9,10,14	3
2,9,12,17	3
3,4,17,19	3
3,6,8,10	3
3,6,15,21	3
3,13,16,18	3
4,5,19,24	3
4,10,13,14	3
4,12,13,14	3
5,8,12,17	3
6,7,9,18	3
6,7,13,17	3
6,8,18,19	3
6,15,27,28	3
6,20,26,30	3
7,8,13,14	3
7,9,21,23	3
8,13,15,22	3
8,14,16,20	3
8,15,17,24	3
8,18,19,20	3
8,24,31,32	3
9,10,14,32	3
9,11,17,21	3
9,12,17,18	3
9,13,16,17	3
9,13,23,25	3
9,14,16,27	3
10,11,23,24	3
10,11,24,30	3
10,12,22,30	3
11,12,15,34	3
11,14,15,24	3
11,14,17,19	3
11,20,26,29	3
11,25,34,37	3
12,13,14,23	3
12,13,21,25	3
12,14,19,25	3
12,16,21,23	3
12,18,31,32	3
12,21,24,27	3
13,14,19,20	3
13,15,17,19	3
13,15,20,29	3
13,15,22,23	3
13,19,33,36	3
13,28,31,37	3
14,18,30,34	3
15,18,21,31	3
15,25,29,37	3
16,17,18,21	3
16,22,30,38	3
17,22,25,30	3
17,22,26,38	3
17,26,32,34	3
17,26,34,35	3
18,19,28,33	3
18,21,24,28	3
18,22,24,34	3
18,23,25,30	3
19,20,27,28	3
19,22,24,41	3
19,22,25,26	3
19,24,29,44	3
20,21,23,26	3
20,21,39,44	3
20,22,25,26	3
20,22,36,42	3
20,23,32,34	3
20,27,30,38	3
21,23,26,43	3
21,23,32,38	3
21,25,33,38	3
21,26,36,39	3
21,28,29,39	3
21,29,35,38	3
22,23,24,32	3
22,23,26,28	3
22,27,35,39	3
22,30,31,34	3
22,31,34,39	3
22,33,41,49	3
23,24,29,36	3
23,24,34,43	3
23,27,28,41	3
24,33,41,42	3
24,34,39,42	3
25,26,33,48	3
25,34,38,45	3
26,29,34,41	3
26,29,38,43	3
26,32,35,37	3
26,33,34,36	3
26,35,39,46	3
27,30,32,36	3
27,30,33,35	3
27,32,33,43	3
28,31,36,41	3
28,34,41,43	3
28,38,43,44	3
29,30,32,34	3
29,30,34,35	3
29,34,35,36	3
30,32,33,37	3
30,40,41,44	3
31,36,37,42	3
31,38,42,48	3
32,33,43,46	3
32,34,36,40	3
32,34,37,46	3
32,37,40,41	3
34,35,36,46	3
34,35,38,39	3
34,44,45,47	3
35,36,40,46	3
37,41,42,47	3
41,43,46,48	3
1,2,5,6	2
1,2,5,11	2
1,2,8,10	2
1,2,12,31	2
1,2,13,26	2
1,2,16,17	2
1,2,17,29	2
1,2,20,29	2
1,3,7,8	2
1,3,7,11	2
1,3,8,16	2
1,3,26,37	2
1,4,6,11	2
1,4,10,18	2
1,4,12,29	2
1,4,14,19	2
1,4,17,22	2
1,5,7,9	2
1,5,8,22	2
1,5,9,11	2
1,5,9,15	2
1,5,10,15	2
1,5,11,14	2
1,5,12,18	2
1,5,15,32	2
