Kombinacja	Liczba wystąpień
1,17	59
31,42	57
4,21	55
5,20	54
21,32	54
6,16	53
17,26	53
25,37	53
31,41	53
8,17	52
13,25	52
26,42	52
10,26	51
11,23	51
12,21	51
13,22	51
2,17	50
5,19	50
7,21	50
19,31	50
33,44	50
4,18	49
9,17	49
14,31	49
15,27	49
21,37	49
22,37	49
23,38	49
28,39	49
34,45	49
4,16	48
5,17	48
14,25	48
17,32	48
26,40	48
27,42	48
34,46	48
35,47	48
36,45	48
4,19	47
5,18	47
6,19	47
10,24	47
22,36	47
24,43	47
24,44	47
25,38	47
28,43	47
31,43	47
34,47	47
36,46	47
5,15	46
7,23	46
9,20	46
9,24	46
11,25	46
13,26	46
17,30	46
24,35	46
24,36	46
27,38	46
27,41	46
29,38	46
38,46	46
1,11	45
1,12	45
1,16	45
2,11	45
4,15	45
13,20	45
15,31	45
18,28	45
19,33	45
21,29	45
21,39	45
23,39	45
26,38	45
32,46	45
4,17	44
8,19	44
8,21	44
9,22	44
11,20	44
16,27	44
17,34	44
18,30	44
18,32	44
21,36	44
25,33	44
27,40	44
30,40	44
33,46	44
36,49	44
1,20	43
6,24	43
6,25	43
7,20	43
10,23	43
11,24	43
11,27	43
13,24	43
13,31	43
13,32	43
14,26	43
16,28	43
17,28	43
19,35	43
20,29	43
20,30	43
20,36	43
26,35	43
26,41	43
28,37	43
28,40	43
29,42	43
30,36	43
30,44	43
31,45	43
34,49	43
2,15	42
3,15	42
4,20	42
6,27	42
13,28	42
14,27	42
17,38	42
20,31	42
20,33	42
20,34	42
23,40	42
24,34	42
24,37	42
28,42	42
30,46	42
33,47	42
39,46	42
40,49	42
2,19	41
2,21	41
3,14	41
3,16	41
6,15	41
7,17	41
8,20	41
9,23	41
10,29	41
12,23	41
12,27	41
14,24	41
15,24	41
15,29	41
16,24	41
17,29	41
17,31	41
18,29	41
18,31	41
18,33	41
19,27	41
21,38	41
22,34	41
24,39	41
28,36	41
29,49	41
30,47	41
32,37	41
37,47	41
1,19	40
2,16	40
3,11	40
3,13	40
4,25	40
5,14	40
6,18	40
6,20	40
6,21	40
7,18	40
9,29	40
10,25	40
14,28	40
15,25	40
15,28	40
17,25	40
17,27	40
19,34	40
21,34	40
22,31	40
22,35	40
23,44	40
24,41	40
25,31	40
25,34	40
27,45	40
28,38	40
29,44	40
30,45	40
32,44	40
34,44	40
35,48	40
36,47	40
37,48	40
1,13	39
3,12	39
3,21	39
5,22	39
6,23	39
7,13	39
8,24	39
11,28	39
12,24	39
13,29	39
15,32	39
15,34	39
16,38	39
17,22	39
17,40	39
19,29	39
19,38	39
20,32	39
21,26	39
21,27	39
21,31	39
21,35	39
23,28	39
23,34	39
24,38	39
25,43	39
26,34	39
29,45	39
33,48	39
1,10	38
2,13	38
3,18	38
6,12	38
9,18	38
9,21	38
9,27	38
9,28	38
10,27	38
12,22	38
14,22	38
14,29	38
14,32	38
16,29	38
16,31	38
18,27	38
18,36	38
20,35	38
21,30	38
22,41	38
24,46	38
27,35	38
30,43	38
31,39	38
32,38	38
33,43	38
33,45	38
2,10	37
6,22	37
7,25	37
11,22	37
12,28	37
12,29	37
15,23	37
15,33	37
18,24	37
21,40	37
22,32	37
23,35	37
25,44	37
26,39	37
27,34	37
27,36	37
27,39	37
27,43	37
32,47	37
35,45	37
38,45	37
38,49	37
1,15	36
2,8	36
2,9	36
2,18	36
4,10	36
4,13	36
5,21	36
6,13	36
6,28	36
7,15	36
7,16	36
8,27	36
10,22	36
10,28	36
12,20	36
12,26	36
12,30	36
13,21	36
14,23	36
14,33	36
15,26	36
15,30	36
16,30	36
17,24	36
17,36	36
19,25	36
19,28	36
19,36	36
20,37	36
22,38	36
23,29	36
25,36	36
27,44	36
29,46	36
33,41	36
34,42	36
37,45	36
38,48	36
3,24	35
4,11	35
4,14	35
7,14	35
8,23	35
8,28	35
9,16	35
9,30	35
10,18	35
13,23	35
16,34	35
17,23	35
17,35	35
19,32	35
19,39	35
20,28	35
22,30	35
22,33	35
22,39	35
23,36	35
24,32	35
24,40	35
24,42	35
25,35	35
25,39	35
26,44	35
27,33	35
28,41	35
28,45	35
29,43	35
29,48	35
30,39	35
31,48	35
32,48	35
33,49	35
39,48	35
41,47	35
41,49	35
2,12	34
2,22	34
3,17	34
3,19	34
3,20	34
4,24	34
5,13	34
7,22	34
8,18	34
8,30	34
12,19	34
13,27	34
13,30	34
13,34	34
16,23	34
17,33	34
19,37	34
20,39	34
21,33	34
22,45	34
23,30	34
23,32	34
25,30	34
25,45	34
25,47	34
29,34	34
31,49	34
32,41	34
32,43	34
35,43	34
35,49	34
36,44	34
38,47	34
40,47	34
1,18	33
3,9	33
7,26	33
8,22	33
9,26	33
10,21	33
11,21	33
11,29	33
11,31	33
11,34	33
13,33	33
14,21	33
14,30	33
14,36	33
15,21	33
15,36	33
15,39	33
16,25	33
16,36	33
18,26	33
18,37	33
21,41	33
21,42	33
23,42	33
24,30	33
24,31	33
25,40	33
27,32	33
27,49	33
29,40	33
30,37	33
31,46	33
32,49	33
34,43	33
37,49	33
42,49	33
1,8	32
2,26	32
3,8	32
3,27	32
5,27	32
