Kombinacja	Liczba wystąpień
4,5	113
30,31	109
36,37	109
13,15	106
21,22	106
27,28	105
17,18	104
19,20	104
42,44	104
25,26	103
32,34	103
5,6	102
13,14	102
38,39	102
44,45	102
10,11	101
34,36	100
35,36	100
25,27	99
27,30	99
11,12	98
15,17	98
29,30	98
41,42	98
23,24	97
33,34	97
6,7	96
7,9	96
17,21	96
18,19	96
20,21	96
21,23	96
22,23	96
26,27	96
31,32	96
3,4	95
33,35	95
36,38	95
1,2	94
2,5	94
31,34	94
34,35	94
37,38	94
2,3	93
24,26	93
32,33	93
36,39	93
2,4	92
40,42	92
47,49	92
3,6	91
10,13	91
17,20	91
20,22	91
45,46	91
22,25	90
38,40	90
21,24	89
25,29	89
39,41	89
9,10	88
41,43	88
4,6	87
8,10	87
14,15	87
7,8	86
9,11	86
12,13	86
18,21	86
24,27	86
35,37	86
45,47	86
46,48	86
16,18	85
18,20	85
24,25	85
43,46	85
6,8	84
15,16	84
22,24	84
25,28	84
29,31	84
29,32	84
30,32	84
42,43	84
12,14	83
42,45	83
47,48	83
5,8	82
16,19	82
48,49	82
11,13	81
13,16	81
14,17	81
17,19	81
5,7	80
9,13	80
20,24	80
27,29	80
28,29	80
28,30	80
3,7	79
6,9	79
14,16	79
16,17	79
24,28	79
26,28	79
40,41	79
1,3	78
4,9	78
8,9	78
19,21	78
30,33	78
39,40	78
43,44	78
11,14	77
19,24	77
23,25	77
35,38	77
45,49	77
1,4	76
2,6	76
8,12	76
12,15	76
28,31	76
28,32	76
37,39	76
37,40	76
11,15	75
21,25	75
23,26	75
32,36	75
40,46	75
6,10	74
15,20	74
23,27	74
26,30	74
34,38	74
26,29	73
43,45	73
7,11	72
13,17	72
18,23	72
35,39	72
38,43	72
41,45	72
44,47	72
45,48	72
46,47	72
4,7	71
12,17	71
32,35	71
41,44	71
44,46	71
4,8	70
5,10	70
18,22	70
21,28	70
33,36	70
34,37	70
38,41	70
6,11	69
16,21	69
17,22	69
24,31	69
27,34	69
31,35	69
38,42	69
39,42	69
40,43	69
40,45	69
42,46	69
10,12	68
12,16	68
15,18	68
20,26	68
22,26	68
28,33	68
37,41	68
39,43	68
5,9	67
14,19	67
19,22	67
30,34	67
31,33	67
36,40	67
7,10	66
10,15	66
11,17	66
13,18	66
29,35	66
1,5	65
3,5	65
9,18	65
19,23	65
27,31	65
41,46	65
24,29	64
29,33	64
29,34	64
34,40	64
36,41	64
1,7	63
9,12	63
17,23	63
26,32	63
31,38	63
30,35	62
39,46	62
42,47	62
2,9	61
4,10	61
8,11	61
10,14	61
11,16	61
12,18	61
15,19	61
19,25	61
21,26	61
25,31	61
27,32	61
31,37	61
38,44	61
43,49	61
10,16	60
14,20	60
20,25	60
21,29	60
43,48	60
46,49	60
3,8	59
16,20	59
26,31	59
37,44	59
6,15	58
7,12	58
9,16	58
25,30	58
27,33	58
34,39	58
3,11	57
7,13	57
8,13	57
9,14	57
14,18	57
20,23	57
20,29	57
30,36	57
30,38	57
43,47	57
10,19	56
15,22	56
21,27	56
23,29	56
38,45	56
1,6	55
5,11	55
9,15	55
15,21	55
18,25	55
20,27	55
23,28	55
28,34	55
31,36	55
34,41	55
40,44	55
6,13	54
8,14	54
16,22	54
24,30	54
32,37	54
32,42	54
33,37	54
35,40	54
35,41	54
37,42	54
13,19	53
18,24	53
18,27	53
22,27	53
25,32	53
28,36	53
29,37	53
33,38	53
36,42	53
39,44	53
44,48	53
2,7	52
8,16	52
10,17	52
13,20	52
15,25	52
16,24	52
17,24	52
19,28	52
4,11	51
5,15	51
7,14	51
14,21	51
19,27	51
21,30	51
28,38	51
32,39	51
33,40	51
33,41	51
35,42	51
39,45	51
44,49	51
17,25	50
17,26	50
22,30	50
27,35	50
38,46	50
40,47	50
42,49	50
2,10	49
3,9	49
6,14	49
12,19	49
25,33	49
1,10	48
3,13	48
11,18	48
