Kombinacja	Liczba wystąpień
6,10,12,22,30	3
1,2,4,5,10	2
1,5,8,22,25	2
1,13,16,17,22	2
2,5,9,10,13	2
2,9,12,17,18	2
2,9,12,23,24	2
2,14,22,24,26	2
2,15,19,34,35	2
3,4,17,19,20	2
3,6,11,15,27	2
3,6,15,21,27	2
3,11,13,28,31	2
4,6,11,23,40	2
4,7,11,19,24	2
4,8,18,24,29	2
4,9,31,39,42	2
5,8,15,22,28	2
5,9,27,28,30	2
5,27,30,33,35	2
6,8,12,23,36	2
6,9,10,13,35	2
6,10,25,29,32	2
7,8,24,25,31	2
7,14,26,31,32	2
7,15,17,22,40	2
7,30,31,44,48	2
7,33,37,45,47	2
8,12,14,18,24	2
8,13,20,21,23	2
9,13,23,25,28	2
9,18,20,26,29	2
9,20,34,40,42	2
9,23,36,44,45	2
9,27,31,34,37	2
10,12,23,29,38	2
10,17,33,39,46	2
10,19,43,44,45	2
11,25,34,37,45	2
12,17,22,25,30	2
12,19,36,38,39	2
13,19,33,36,43	2
13,20,21,28,30	2
13,21,22,29,35	2
15,26,34,36,47	2
17,20,23,32,34	2
17,21,28,29,39	2
17,22,25,30,31	2
17,28,29,48,49	2
17,31,36,37,42	2
18,22,23,26,28	2
18,25,30,32,39	2
19,25,38,43,45	2
20,27,30,38,47	2
20,29,43,44,45	2
21,22,25,36,44	2
21,25,33,38,48	2
21,26,36,39,45	2
21,28,29,39,45	2
22,25,34,38,45	2
22,31,34,39,46	2
23,26,30,31,32	2
23,30,33,45,47	2
23,31,34,36,39	2
23,33,40,41,46	2
24,27,39,40,42	2
26,27,43,45,46	2
26,36,39,40,45	2
26,39,40,44,49	2
27,30,33,35,39	2
27,32,33,43,46	2
27,33,42,43,49	2
28,32,36,37,40	2
32,34,44,45,47	2
