Kombinacja	Liczba wystąpień
0,0,1,2,3,4	216
0,1,2,2,3,4	208
0,1,2,3,3,4	202
0,1,1,2,3,4	200
0,1,2,3,4,4	190
0,1,1,2,2,3	126
0,1,1,2,3,3	122
0,0,1,2,2,3	113
0,1,2,2,3,3	113
0,0,2,3,3,4	110
0,0,1,2,2,4	107
0,0,1,1,3,4	102
0,1,1,3,3,4	102
0,2,2,3,3,4	102
1,1,2,3,3,4	102
0,0,1,1,2,3	101
0,0,1,3,3,4	101
1,1,2,2,3,4	100
0,1,1,2,2,4	96
0,0,1,1,2,4	95
1,2,2,3,3,4	91
0,0,1,2,3,3	90
0,1,1,2,4,4	85
0,1,2,2,4,4	85
0,0,2,2,3,4	84
0,2,3,3,4,4	84
0,0,1,3,4,4	81
0,1,3,3,4,4	81
1,2,3,3,4,4	81
0,1,2,3,3,3	78
0,0,1,2,4,4	77
0,0,2,3,4,4	76
0,1,2,2,2,3	76
0,1,1,1,2,3	75
0,2,2,3,4,4	73
1,1,2,3,4,4	71
0,0,0,1,2,3	69
0,1,1,3,4,4	67
1,2,2,2,3,4	64
1,2,2,3,4,4	63
0,1,1,1,3,4	62
0,2,2,2,3,4	62
0,0,2,2,3,3	60
1,1,1,2,3,4	60
0,0,0,2,3,4	58
1,2,3,3,3,4	56
0,1,2,2,2,4	55
0,0,0,1,2,4	53
0,0,0,1,3,4	52
0,1,1,1,2,4	48
0,1,2,4,4,4	48
0,0,1,1,3,3	45
0,0,1,1,2,2	44
0,1,3,4,4,4	44
1,1,2,2,2,3	44
1,2,3,4,4,4	44
0,1,3,3,3,4	43
0,2,3,3,3,4	41
1,1,3,3,4,4	40
0,0,0,1,3,3	39
0,0,1,1,4,4	39
0,0,3,3,4,4	39
0,2,2,2,3,3	39
0,1,1,2,2,2	38
0,0,0,2,3,3	36
0,0,2,2,4,4	36
0,2,3,4,4,4	36
1,1,2,2,3,3	36
1,1,2,2,4,4	36
2,2,3,3,4,4	35
1,1,1,2,2,3	34
0,0,1,1,1,3	33
1,1,3,3,3,4	33
0,0,0,1,4,4	32
0,0,1,1,1,2	32
0,1,1,3,3,3	31
1,1,2,2,2,4	31
2,2,3,3,3,4	31
0,0,1,3,3,3	30
1,1,1,3,3,4	30
1,1,1,2,3,3	29
0,0,0,1,1,2	28
0,0,0,2,2,3	28
0,2,2,3,3,3	28
0,0,1,2,2,2	27
0,1,1,1,3,3	26
1,2,2,2,3,3	26
0,0,0,1,2,2	25
0,0,0,2,2,4	25
0,2,2,4,4,4	24
2,2,2,3,4,4	24
0,0,2,2,2,4	23
0,1,1,1,2,2	23
0,2,2,2,4,4	23
1,1,1,3,4,4	23
1,1,2,3,3,3	23
2,2,2,3,3,4	23
0,0,0,3,4,4	22
0,0,1,4,4,4	22
1,1,1,2,2,4	22
2,3,3,3,4,4	22
0,0,0,1,1,4	21
0,0,3,3,3,4	21
0,3,3,4,4,4	21
1,2,2,3,3,3	21
0,0,2,2,2,3	20
0,0,3,4,4,4	20
2,2,3,4,4,4	20
0,0,0,1,1,3	19
0,0,1,1,1,4	19
0,0,2,3,3,3	19
1,1,2,4,4,4	19
1,2,2,2,4,4	19
1,3,3,4,4,4	19
0,0,0,3,3,4	18
0,1,1,1,4,4	18
0,0,0,2,4,4	17
0,2,3,3,3,3	17
0,0,2,4,4,4	16
0,3,3,3,4,4	16
1,1,1,2,4,4	15
1,3,3,3,4,4	15
0,1,2,2,2,2	14
1,1,3,4,4,4	14
1,2,2,4,4,4	14
0,0,0,0,1,4	13
0,1,1,1,1,4	13
1,2,2,2,2,4	13
2,3,3,4,4,4	13
0,0,0,0,2,4	12
0,3,3,3,3,4	12
1,1,1,2,2,2	12
0,0,0,0,3,4	11
1,2,2,2,2,3	11
0,0,0,0,2,3	10
0,1,1,1,1,2	10
0,1,1,4,4,4	10
0,1,3,3,3,3	10
1,1,1,3,3,3	10
2,3,4,4,4,4	10
0,0,0,1,1,1	9
0,2,2,2,2,4	9
2,2,2,3,3,3	9
2,2,3,3,3,3	9
0,0,0,0,2,2	8
0,0,0,2,2,2	8
0,1,1,1,1,3	8
1,1,1,1,2,4	8
1,3,3,3,3,4	8
2,3,3,3,3,4	8
0,0,0,0,1,2	7
0,1,4,4,4,4	7
0,3,4,4,4,4	7
1,1,1,1,2,2	7
1,1,1,1,2,3	7
1,1,1,1,3,4	7
0,0,0,0,1,1	6
0,0,0,4,4,4	6
0,2,2,2,2,3	6
0,2,4,4,4,4	6
1,2,3,3,3,3	6
2,2,2,2,3,4	6
0,0,0,0,1,3	5
0,0,2,2,2,2	5
1,1,1,1,3,3	5
1,1,3,3,3,3	5
1,3,4,4,4,4	5
2,2,2,2,3,3	5
2,2,2,4,4,4	5
3,3,3,3,3,4	5
3,3,3,3,4,4	5
3,3,3,4,4,4	5
0,0,0,0,0,1	4
0,0,0,0,4,4	4
0,0,0,3,3,3	4
0,0,1,1,1,1	4
0,0,4,4,4,4	4
1,1,1,1,1,3	4
1,1,2,2,2,2	4
1,2,4,4,4,4	4
2,2,4,4,4,4	4
3,3,4,4,4,4	4
0,0,3,3,3,3	3
1,1,1,4,4,4	3
2,2,2,2,2,3	3
3,4,4,4,4,4	3
0,0,0,0,0,2	2
0,0,0,0,0,3	2
0,0,0,0,3,3	2
1,1,1,1,1,4	2
2,2,2,2,4,4	2
