Liczba	Średnia częstotliwość
17	0.1329
21	0.1305
34	0.1292
38	0.1289
24	0.1287
27	0.1284
4	0.1276
6	0.1274
36	0.1259
25	0.1258
13	0.1256
28	0.1255
2	0.1252
15	0.1247
1	0.1245
18	0.1240
20	0.1240
31	0.1240
42	0.1238
45	0.1236
46	0.1236
22	0.1230
29	0.1229
5	0.1227
32	0.1223
19	0.1219
3	0.1215
14	0.1215
9	0.1213
26	0.1212
40	0.1212
11	0.1211
37	0.1211
10	0.1207
7	0.1204
41	0.1202
30	0.1201
39	0.1195
49	0.1194
8	0.1187
16	0.1187
23	0.1187
35	0.1183
33	0.1176
44	0.1171
12	0.1158
47	0.1147
43	0.1128
48	0.1121
