Kombinacja	Liczba wystąpień
147	107
144	96
149	95
146	93
151	93
160	93
148	92
152	92
155	91
134	90
168	90
137	88
139	88
163	88
158	87
143	85
150	85
157	85
131	84
135	84
156	83
159	82
153	81
154	81
145	80
125	78
130	78
127	77
142	77
177	77
141	76
132	75
169	75
162	74
178	74
140	73
183	73
164	72
121	71
166	71
171	71
129	70
170	70
172	70
174	70
116	69
122	69
124	69
136	69
138	69
123	68
119	65
126	64
165	64
133	63
167	63
173	63
161	62
112	61
120	60
128	60
175	58
117	55
176	54
179	53
182	53
188	53
181	51
191	51
113	50
115	50
185	50
118	49
111	48
110	47
114	47
180	46
109	43
186	43
190	42
187	41
192	41
193	41
106	40
199	38
108	37
184	36
189	35
105	34
107	34
103	33
96	32
194	32
198	32
102	31
104	31
97	30
100	30
98	29
101	29
99	28
197	28
200	28
201	28
195	27
196	26
202	26
95	25
92	24
209	23
207	22
208	22
203	21
91	20
210	20
85	19
90	19
94	19
217	19
93	17
205	17
87	15
214	15
88	14
211	14
216	13
79	12
213	12
83	11
89	11
215	11
218	11
80	10
86	10
204	10
206	10
212	10
78	9
84	9
221	9
222	9
224	9
77	8
82	8
219	8
81	7
227	7
229	7
68	6
225	6
226	6
71	5
72	5
73	5
223	5
228	5
230	5
69	4
237	4
58	3
60	3
63	3
64	3
74	3
75	3
76	3
220	3
233	3
238	3
247	3
43	2
51	2
57	2
65	2
66	2
67	2
231	2
234	2
240	2
242	2
248	2
