Kombinacja	Liczba wystąpień
4,20,29	8
5,27,45	7
7,21,32	7
10,33,44	7
11,34,45	7
14,31,41	7
1,17,25	6
2,17,40	6
3,28,38	6
4,16,35	6
5,9,29	6
5,15,41	6
5,20,33	6
6,12,30	6
6,25,33	6
6,28,36	6
7,25,37	6
9,23,38	6
10,26,37	6
11,24,39	6
11,27,40	6
13,20,42	6
14,26,42	6
16,27,42	6
18,35,47	6
20,39,45	6
1,10,28	5
1,10,37	5
1,12,26	5
1,12,27	5
1,13,37	5
1,16,36	5
1,17,34	5
1,17,37	5
1,19,35	5
1,20,37	5
1,27,38	5
2,11,35	5
2,13,34	5
2,15,43	5
2,17,42	5
2,18,40	5
2,19,35	5
2,19,39	5
2,21,35	5
3,13,31	5
3,14,32	5
3,18,34	5
3,19,40	5
3,20,44	5
3,23,40	5
3,24,43	5
3,27,40	5
3,28,34	5
4,14,31	5
4,16,31	5
4,17,30	5
4,18,44	5
4,21,28	5
4,21,37	5
4,21,42	5
5,11,40	5
5,18,30	5
5,18,40	5
5,19,33	5
5,20,39	5
5,21,39	5
5,23,40	5
5,27,39	5
6,18,40	5
6,19,40	5
6,20,41	5
6,24,41	5
6,25,45	5
6,26,34	5
6,27,44	5
7,16,38	5
7,17,38	5
7,20,34	5
7,21,34	5
7,21,39	5
7,23,39	5
7,25,48	5
8,15,39	5
8,17,32	5
8,19,31	5
8,19,36	5
8,21,39	5
8,22,36	5
9,21,32	5
9,22,39	5
9,22,45	5
9,23,34	5
9,24,38	5
10,20,32	5
10,26,44	5
11,21,41	5
11,23,40	5
11,23,44	5
11,25,49	5
11,26,41	5
11,34,44	5
12,24,43	5
12,28,38	5
12,29,37	5
13,22,29	5
13,28,49	5
13,31,47	5
14,19,37	5
14,25,45	5
14,26,34	5
14,35,49	5
15,21,40	5
15,24,43	5
15,24,46	5
15,26,35	5
15,27,47	5
15,30,45	5
15,34,47	5
16,27,39	5
16,28,39	5
17,26,48	5
19,31,45	5
20,26,48	5
20,32,43	5
20,33,46	5
21,38,47	5
22,36,46	5
24,39,42	5
1,10,30	4
1,11,35	4
1,12,28	4
1,12,40	4
1,13,23	4
1,13,35	4
1,15,30	4
1,16,38	4
1,17,26	4
1,17,31	4
1,17,32	4
1,17,38	4
1,20,35	4
1,22,34	4
1,22,45	4
1,23,38	4
1,26,38	4
1,26,39	4
1,27,40	4
1,28,40	4
2,8,36	4
2,9,27	4
2,11,24	4
2,12,18	4
2,12,36	4
2,13,28	4
2,14,35	4
2,15,36	4
2,16,28	4
2,17,30	4
2,17,36	4
2,20,30	4
2,20,36	4
2,21,38	4
2,21,39	4
2,21,40	4
2,22,31	4
2,23,41	4
2,25,37	4
2,26,43	4
2,27,43	4
