Kombinacja	Liczba wystąpień
21,22,25	16
21,24,27	16
17,21,22	15
18,19,20	14
19,22,25	14
32,35,37	14
41,42,47	14
45,46,48	14
2,9,11	13
3,6,8	13
4,5,8	13
6,9,10	13
13,15,22	13
18,21,24	13
19,20,22	13
22,23,24	13
25,26,27	13
30,31,34	13
44,45,47	13
2,3,6	12
3,7,9	12
4,9,10	12
8,12,17	12
10,11,12	12
11,12,14	12
12,13,14	12
16,19,27	12
19,20,21	12
19,20,24	12
21,23,26	12
22,25,26	12
30,32,36	12
32,33,37	12
36,37,39	12
42,44,45	12
45,47,49	12
1,4,5	11
3,6,7	11
3,6,15	11
3,11,12	11
4,5,10	11
6,8,12	11
9,10,13	11
9,12,17	11
11,12,15	11
11,12,23	11
12,13,16	11
13,15,17	11
13,15,20	11
13,16,18	11
14,19,24	11
17,18,22	11
21,22,26	11
23,24,28	11
23,25,28	11
25,27,31	11
26,27,28	11
26,33,34	11
27,29,32	11
27,30,32	11
28,38,39	11
29,30,32	11
29,34,35	11
30,35,36	11
31,41,42	11
32,34,36	11
35,36,37	11
35,37,48	11
35,38,39	11
36,37,42	11
36,39,45	11
38,40,46	11
41,43,46	11
46,48,49	11
2,4,6	10
2,6,7	10
2,6,10	10
3,4,7	10
3,5,6	10
3,7,11	10
4,5,6	10
4,6,7	10
5,7,9	10
6,9,13	10
6,10,15	10
7,11,13	10
7,13,17	10
8,15,17	10
8,18,19	10
9,11,17	10
10,11,24	10
10,13,14	10
11,14,15	10
12,15,17	10
12,16,21	10
12,17,21	10
13,15,16	10
14,16,19	10
14,17,18	10
15,17,24	10
15,18,21	10
16,18,19	10
17,18,19	10
17,18,23	10
19,20,27	10
19,22,23	10
20,21,23	10
21,22,24	10
21,23,24	10
21,25,29	10
23,24,29	10
23,26,29	10
24,25,29	10
24,27,30	10
24,29,32	10
25,26,33	10
25,27,28	10
25,27,30	10
25,29,30	10
25,30,31	10
27,28,38	10
27,30,34	10
27,30,38	10
27,34,40	10
28,32,33	10
29,30,31	10
29,31,34	10
30,31,32	10
30,31,35	10
30,32,34	10
30,33,35	10
30,33,36	10
31,32,33	10
31,35,39	10
32,33,34	10
33,35,38	10
