Kombinacja	Liczba par losowań
17	463203
21	446040
34	436645
38	434778
24	432915
27	430128
4	426426
6	424581
25	414505
36	412686
13	411778
28	411778
2	409965
1	406351
15	406351
31	402753
20	401856
42	401856
18	400960
45	399171
46	398278
22	395605
29	395605
5	394716
32	389403
19	388521
3	385881
9	385881
26	385003
14	384126
11	383250
37	383250
40	383250
10	380628
7	378885
41	378015
39	374545
30	373680
49	373680
16	369370
8	368511
23	368511
35	366796
33	361675
44	359128
12	349866
47	344035
43	332520
48	329266
