Kombinacje 2-liczbowe	Liczba wystąpień
21,39	120
1,17	119
7,46	119
17,21	119
17,26	119
4,20	118
9,18	118
31,42	118
6,16	116
6,42	116
24,44	116
4,27	115
13,15	115
13,22	115
5,15	114
17,38	114
17,41	114
21,29	114
4,5	113
10,44	113
11,34	113
13,37	113
17,42	113
26,46	113
32,34	113
42,44	113
2,40	112
4,22	112
17,22	112
25,27	112
27,30	112
27,34	112
27,49	112
31,34	112
2,17	111
4,29	111
5,20	111
8,17	111
8,24	111
9,42	111
15,25	111
20,29	111
21,38	111
34,46	111
36,39	111
39,46	111
2,5	110
5,36	110
9,29	110
13,31	110
15,34	110
17,36	110
19,28	110
26,42	110
34,36	110
1,28	109
1,44	109
3,27	109
5,17	109
16,38	109
17,29	109
21,24	109
21,37	109
21,41	109
25,33	109
28,38	109
30,31	109
30,46	109
36,37	109
2,6	108
4,17	108
4,31	108
7,21	108
9,39	108
13,25	108
17,34	108
19,24	108
21,36	108
25,31	108
27,40	108
28,43	108
3,11	107
4,26	107
6,20	107
6,27	107
10,13	107
13,20	107
13,40	107
14,26	107
15,27	107
15,42	107
17,23	107
21,28	107
22,25	107
24,41	107
25,29	107
2,36	106
2,49	106
3,6	106
6,15	106
7,25	106
8,21	106
10,32	106
12,21	106
15,35	106
16,21	106
17,20	106
18,28	106
19,31	106
21,22	106
24,31	106
25,37	106
31,41	106
36,45	106
1,21	105
1,37	105
2,9	105
2,43	105
4,21	105
4,28	105
7,34	105
7,38	105
9,38	105
11,46	105
13,24	105
15,31	105
16,27	105
18,29	105
19,25	105
20,26	105
20,46	105
21,26	105
34,47	105
40,46	105
42,45	105
1,20	104
3,7	104
3,34	104
6,34	104
6,36	104
9,27	104
15,17	104
16,24	104
17,18	104
17,40	104
18,34	104
19,20	104
21,23	104
21,25	104
27,28	104
28,36	104
34,45	104
36,38	104
1,46	103
2,15	103
3,13	103
3,31	103
4,24	103
4,25	103
6,28	103
8,18	103
9,17	103
11,23	103
12,23	103
13,29	103
14,49	103
17,25	103
18,27	103
19,42	103
21,31	103
22,35	103
22,38	103
24,34	103
24,42	103
25,26	103
27,35	103
29,34	103
38,45	103
1,38	102
1,40	102
2,38	102
4,9	102
5,6	102
5,29	102
5,42	102
5,49	102
10,38	102
13,32	102
13,38	102
14,27	102
14,34	102
17,28	102
17,49	102
18,21	102
18,39	102
19,45	102
21,49	102
30,36	102
33,35	102
37,48	102
38,39	102
44,45	102
1,34	101
2,39	101
3,28	101
3,46	101
4,18	101
6,19	101
6,37	101
6,40	101
7,9	101
7,45	101
9,24	101
9,45	101
10,11	101
10,25	101
11,15	101
11,33	101
13,14	101
13,17	101
13,36	101
14,25	101
14,45	101
15,41	101
17,32	101
17,48	101
18,23	101
18,46	101
19,34	101
24,26	101
24,47	101
26,40	101
29,38	101
30,47	101
31,49	101
38,46	101
41,46	101
1,36	100
2,25	100
4,10	100
4,36	100
4,40	100
6,10	100
6,18	100
6,24	100
7,17	100
9,16	100
12,34	100
14,28	100
14,40	100
17,24	100
20,24	100
21,27	100
21,32	100
22,37	100
22,45	100
23,38	100
24,45	100
25,28	100
26,32	100
28,37	100
28,40	100
33,45	100
34,38	100
35,36	100
1,16	99
1,45	99
2,29	99
3,22	99
3,24	99
4,32	99
4,48	99
6,32	99
6,48	99
8,41	99
9,28	99
14,42	99
15,20	99
15,28	99
15,37	99
18,40	99
18,49	99
19,27	99
20,30	99
21,30	99
22,36	99
25,38	99
27,48	99
29,32	99
29,35	99
30,34	99
37,47	99
38,40	99
41,45	99
43,46	99
1,13	98
1,22	98
2,13	98
2,18	98
2,22	98
3,14	98
3,21	98
3,23	98
3,32	98
4,15	98
5,18	98
5,23	98
5,27	98
6,13	98
6,25	98
7,13	98
8,12	98
9,34	98
11,12	98
11,29	98
11,40	98
12,16	98
12,24	98
12,30	98
13,23	98
13,26	98
14,38	98
16,19	98
18,20	98
19,38	98
21,44	98
23,46	98
24,27	98
24,37	98
24,43	98
25,45	98
27,36	98
29,30	98
39,41	98
40,42	98
41,42	98
45,49	98
1,19	97
1,26	97
2,45	97
3,43	97
4,6	97
5,10	97
5,32	97
5,38	97
8,28	97
8,36	97
9,13	97
10,24	97
11,17	97
11,25	97
11,45	97
12,38	97
12,42	97
13,28	97
14,19	97
14,31	97
14,37	97
16,42	97
18,45	97
20,22	97
22,24	97
22,26	97
23,24	97
24,35	97
24,38	97
27,46	97
28,32	97
30,38	97
32,37	97
32,44	97
32,46	97
33,34	97
34,40	97
34,44	97
35,37	97
35,45	97
36,46	97
1,11	96
1,29	96
1,42	96
2,4	96
2,10	96
2,11	96
2,16	96
2,42	96
3,15	96
3,20	96
3,38	96
4,34	96
4,49	96
5,48	96
6,7	96
6,38	96
6,49	96
8,38	96
9,20	96
11,14	96
11,24	96
11,31	96
11,37	96
16,47	96
17,30	96
17,37	96
18,19	96
19,37	96
20,21	96
20,34	96
20,36	96
20,45	96
20,49	96
22,23	96
22,41	96
22,44	96
23,28	96
24,28	96
24,39	96
25,34	96
25,44	96
25,48	96
26,27	96
26,45	96
27,32	96
27,33	96
27,41	96
27,42	96
28,34	96
31,32	96
38,42	96
40,45	96
41,43	96
1,10	95
2,28	95
3,4	95
3,40	95
4,19	95
4,35	95
4,42	95
4,45	95
5,8	95
5,39	95
5,45	95
6,11	95
6,23	95
6,41	95
7,27	95
7,41	95
8,33	95
10,26	95
10,46	95
11,39	95
12,17	95
12,32	95
13,16	95
13,49	95
15,21	95
15,38	95
17,31	95
18,25	95
18,30	95
19,36	95
19,40	95
22,32	95
23,29	95
23,32	95
23,41	95
23,44	95
24,46	95
26,38	95
28,46	95
30,33	95
30,35	95
35,39	95
38,43	95
40,49	95
45,48	95
47,49	95
1,2	94
1,49	94
2,30	94
2,34	94
3,8	94
3,29	94
4,8	94
4,33	94
5,28	94
6,21	94
7,11	94
8,32	94
8,35	94
8,40	94
8,49	94
10,27	94
10,30	94
10,31	94
10,39	94
12,14	94
12,39	94
13,42	94
14,24	94
14,36	94
15,22	94
15,24	94
15,40	94
15,46	94
16,18	94
16,32	94
16,37	94
17,44	94
18,24	94
18,33	94
19,32	94
20,41	94
21,40	94
22,30	94
22,40	94
25,32	94
29,31	94
31,39	94
33,41	94
34,35	94
35,38	94
35,49	94
37,38	94
46,48	94
1,7	93
1,35	93
1,48	93
2,3	93
3,17	93
4,47	93
5,11	93
5,13	93
5,31	93
5,40	93
6,22	93
6,33	93
6,46	93
7,14	93
7,18	93
7,42	93
8,22	93
9,31	93
10,19	93
10,28	93
10,35	93
10,37	93
11,19	93
12,28	93
12,36	93
13,18	93
13,34	93
14,22	93
14,41	93
16,29	93
17,27	93
17,43	93
18,38	93
20,31	93
20,43	93
21,42	93
22,46	93
24,36	93
25,30	93
28,31	93
28,33	93
29,49	93
30,39	93
31,38	93
32,33	93
1,18	92
1,41	92
2,21	92
2,33	92
2,46	92
3,18	92
4,16	92
4,38	92
